case_name,base_cycle,target_cycle,method,mean_normalized_error_percent,ratcheting_normalized_error_percent,peak_normalized_error_percent,strict_1pct_accept,relaxed_2pct_accept,relaxed_5pct_accept,drift_direction_ok,finite
B1_stress_m150_to_250,20,10000,linear_last_5,9386.910507399773,9386.910507399803,15463.292632946195,False,False,False,True,True
B1_stress_m150_to_250,20,50000,least_squares_last_100,113668.3072506902,113668.30725069193,190054.0105099191,False,False,False,True,True
B1_stress_m150_to_250,20,50000,least_squares_last_20,113668.3072506902,113668.30725069193,190054.0105099191,False,False,False,True,True
B1_stress_m150_to_250,20,50000,least_squares_last_50,113668.3072506902,113668.30725069193,190054.0105099191,False,False,False,True,True
B1_stress_m150_to_250,20,50000,linear_last_10,52292.10614028596,52292.10614028598,89179.79479608659,False,False,False,True,True
B1_stress_m150_to_250,20,50000,linear_last_2,44821.72002283876,44821.72002283878,72426.81654226297,False,False,False,True,True
B1_stress_m150_to_250,20,50000,linear_last_20,177645.1461195463,177645.14611954617,280113.43985090166,False,False,False,True,True
B1_stress_m150_to_250,20,50000,linear_last_5,47221.13003916608,47221.130039166266,77718.06821492687,False,False,False,True,True
B1_stress_m150_to_250,20,100000,least_squares_last_100,227463.47931494235,227463.4793149458,380282.3904678109,False,False,False,True,True
B1_stress_m150_to_250,20,100000,least_squares_last_20,227463.47931494235,227463.4793149458,380282.3904678109,False,False,False,True,True
B1_stress_m150_to_250,20,100000,least_squares_last_50,227463.47931494235,227463.4793149458,380282.3904678109,False,False,False,True,True
B1_stress_m150_to_250,20,100000,linear_last_10,104686.19066424805,104686.19066424802,178493.05720765638,False,False,False,True,True
B1_stress_m150_to_250,20,100000,linear_last_2,89742.38938492,89742.38938491997,144980.30780942374,False,False,False,True,True
B1_stress_m150_to_250,20,100000,linear_last_20,355443.09797252284,355443.09797252255,560437.765871784,False,False,False,True,True
B1_stress_m150_to_250,20,100000,linear_last_5,94542.18231501793,94542.18231501825,155564.95661767328,False,False,False,True,True
B1_stress_m150_to_250,20,200000,least_squares_last_100,455174.1609066975,455174.1609067044,760861.1970184643,False,False,False,True,True
B1_stress_m150_to_250,20,200000,least_squares_last_20,455174.1609066975,455174.1609067044,760861.1970184643,False,False,False,True,True
B1_stress_m150_to_250,20,200000,least_squares_last_50,455174.1609066975,455174.1609067044,760861.1970184643,False,False,False,True,True
B1_stress_m150_to_250,20,200000,linear_last_10,209593.32406076015,209593.32406076015,357239.37189737184,False,False,False,True,True
