case_name,base_cycle,target_cycle,method,variable,effective_window,slope,base_value,predicted_value,reference_value,strain_range_reference,absolute_error,relative_error_percent,normalized_error_percent,drift_direction_ok,finite,status
B2_stress_0_to_300,10,5000,linear_last_10,strain_mean,10,0.001045040291609378,0.0400838797265175,5.254834934857314,0.078256335052721,0.0015200358307391,5.176578599804593,6614.90037364662,340556.353680659,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_10,ratcheting_strain,10,0.0010450402916093778,0.0094053626244844,5.22415641775528,0.0475778179506879,0.0015200358307391,5.176578599804592,10880.23541804684,340556.35368065897,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_10,strain_max,10,0.0009398748815073218,0.0414569213557046,4.73143258007724,0.0790163529680906,0.0015200358307391,4.65241622710915,5887.915668529966,306072.7999317599,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_10,strain_min,10,0.0011502057017114447,0.0387108380973305,5.778237289637439,0.0774963171373515,0.0015200358307391,5.700740972500087,7356.144373153002,375039.90742956154,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_10,strain_range,10,-0.0002103308202041222,0.002746083258374,-1.0468047095601958,0.0015200358307391,0.0015200358307391,1.0483247453909348,68967.10749780148,68967.10749780148,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_10,hysteresis_area,10,-0.057765836905261186,0.3317001430693586,-287.9198260141839,0.0276601583960276,0.0015200358307391,287.94748617257994,1041018.9343454136,18943467.012390673,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_20,strain_mean,10,0.001045040291609378,0.0400838797265175,5.254834934857314,0.078256335052721,0.0015200358307391,5.176578599804593,6614.90037364662,340556.353680659,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_20,ratcheting_strain,10,0.0010450402916093778,0.0094053626244844,5.22415641775528,0.0475778179506879,0.0015200358307391,5.176578599804592,10880.23541804684,340556.35368065897,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_20,strain_max,10,0.0009398748815073218,0.0414569213557046,4.73143258007724,0.0790163529680906,0.0015200358307391,4.65241622710915,5887.915668529966,306072.7999317599,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_20,strain_min,10,0.0011502057017114447,0.0387108380973305,5.778237289637439,0.0774963171373515,0.0015200358307391,5.700740972500087,7356.144373153002,375039.90742956154,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_20,strain_range,10,-0.0002103308202041222,0.002746083258374,-1.0468047095601958,0.0015200358307391,0.0015200358307391,1.0483247453909348,68967.10749780148,68967.10749780148,True,True,ok
B2_stress_0_to_300,10,5000,linear_last_20,hysteresis_area,10,-0.057765836905261186,0.3317001430693586,-287.9198260141839,0.0276601583960276,0.0015200358307391,287.94748617257994,1041018.9343454136,18943467.012390673,True,True,ok
B2_stress_0_to_300,10,5000,least_squares_last_20,strain_mean,10,0.0009922839688760558,0.0400838797265175,4.9915808844180365,0.078256335052721,0.0015200358307391,4.913324549365315,6278.500706754573,323237.4165138112,True,True,ok
B2_stress_0_to_300,10,5000,least_squares_last_20,ratcheting_strain,10,0.0009922839688760632,0.0094053626244844,4.96090236731604,0.0475778179506879,0.0015200358307391,4.913324549365352,10326.92284134967,323237.4165138136,True,True,ok
B2_stress_0_to_300,10,5000,least_squares_last_20,strain_max,10,0.0009048924899374057,0.0414569213557046,4.556870446143359,0.0790163529680906,0.0015200358307391,4.477854093175268,5666.996672174395,294588.7197276108,True,True,ok
B2_stress_0_to_300,10,5000,least_squares_last_20,strain_min,10,0.0010796754478147141,0.0387108380973305,5.426291322692753,0.0774963171373515,0.0015200358307391,5.348795005555402,6901.998963480295,351886.1133000143,True,True,ok
B2_stress_0_to_300,10,5000,least_squares_last_20,strain_range,10,-0.00017478295787730602,0.002746083258374,-0.869420876549383,0.0015200358307391,0.0015200358307391,0.8709409123801222,57297.39357240264,57297.39357240264,True,True,ok
