Time_s,Cycle_Number,Phase_In_Cycle,U1_mm,EngStrain,RF1_N,Avg_S11_MPa,Avg_SDV1_p,Avg_SDV15_dp
1.570257783,1.570257783,0.5702577829,-0.01405156218,-0.001405156218,-2021.610352,-505.4025879,0.00997901801,0.0002401961829
1.590257764,1.590257764,0.5902577639,-0.01805156283,-0.001805156283,-2144.396973,-536.0992432,0.01023267675,0.0002536591492
1.610257864,1.610257864,0.610257864,-0.02205156162,-0.002205156162,-2253.738037,-563.4345093,0.01050247811,0.0002698014141
1.630257845,1.630257845,0.6302578449,-0.02605156228,-0.002605156228,-2349.930664,-587.482666,0.01078796294,0.0002854849445
1.650257826,1.650257826,0.6502578259,-0.03005156294,-0.003005156294,-2433.331055,-608.3327637,0.01108867023,0.0003007067717
1.670257807,1.670257807,0.6702578068,-0.03405156359,-0.003405156359,-2504.60791,-626.1519775,0.01140379813,0.0003151285346
1.690257788,1.690257788,0.6902577877,-0.03805156425,-0.003805156425,-2564.662598,-641.1656494,0.01173227932,0.0003284811683
1.710257769,1.710257769,0.7102577686,-0.04205156118,-0.004205156118,-2614.564697,-653.6411743,0.01207284257,0.000340563216
1.730257869,1.730257869,0.7302578688,-0.04605156183,-0.004605156183,-2655.48584,-663.87146,0.0124240946,0.0003512518015
1.75025785,1.75025785,0.7502578497,-0.049948439,-0.0049948439,-2685.810059,-671.4525146,0.01277730055,0.00035320592
1.770257831,1.770257831,0.7702578306,-0.04594843835,-0.004594843835,-2349.922607,-587.4806519,0.01277730055,0
1.790257812,1.790257812,0.7902578115,-0.04194843769,-0.004194843769,-2013.922485,-503.4806213,0.01277730055,0
1.810257792,1.810257792,0.8102577925,-0.03794843704,-0.003794843704,-1677.922485,-419.4806213,0.01277730055,0
1.830257773,1.830257773,0.8302577734,-0.03394843638,-0.003394843638,-1341.922485,-335.4806213,0.01277730055,0
1.850257754,1.850257754,0.8502577543,-0.02994843759,-0.002994843759,-1005.922485,-251.4806213,0.01277730055,0
1.870257854,1.870257854,0.8702578545,-0.02594843693,-0.002594843693,-669.9224854,-167.4806213,0.01277730055,0
1.890257835,1.890257835,0.8902578354,-0.02194843814,-0.002194843814,-333.9225159,-83.48062897,0.01277730055,0
1.910257816,1.910257816,0.9102578163,-0.01794843748,-0.001794843748,2.077484846,0.5193712115,0.01277730055,0
1.930257797,1.930257797,0.9302577972,-0.01394843776,-0.001394843776,338.0774841,84.51937103,0.01277730055,0
1.950257778,1.950257778,0.9502577782,-0.009948437102,-0.0009948437102,674.0775146,168.5193787,0.01277730055,0
1.970257759,1.970257759,0.9702577591,-0.005948437378,-0.0005948437378,1010.077515,252.5193787,0.01277730055,0
1.990257859,1.990257859,0.9902578592,-0.001948437537,-0.0001948437537,1346.077515,336.5193787,0.01277730055,0
2.010257721,2.010257721,0.01025772095,0.002051562537,0.0002051562537,1597.098999,399.2747498,0.01287867688,0.0001013766159
2.030257702,2.030257702,0.03025770187,0.006051562726,0.0006051562726,1727.052612,431.7631531,0.01312406361,0.0002453861525
2.050257921,2.050257921,0.05025792122,0.01005156245,0.001005156245,1885.103882,471.2759705,0.0133355353,0.0002114719682
2.070257902,2.070257902,0.07025790215,0.01405156218,0.001405156218,2020.005859,505.0014648,0.01357556507,0.0002400299418
2.090257883,2.090257883,0.09025788307,0.01805156283,0.001805156283,2142.974365,535.7435913,0.01382900402,0.0002534385712
2.110257864,2.110257864,0.110257864,0.02205156162,0.002205156162,2252.494629,563.1236572,0.0140985921,0.0002695881994
2.130257845,2.130257845,0.1302578449,0.02605156228,0.002605156228,2348.863525,587.2158813,0.01438386738,0.0002852753969
2.150257826,2.150257826,0.1502578259,0.03005156294,0.003005156294,2432.432617,608.1081543,0.01468437351,0.0003005061299
2.170257807,2.170257807,0.1702578068,0.03405156359,0.003405156359,2503.867432,625.9668579,0.01499931421,0.0003149406402
2.190257788,2.190257788,0.1902577877,0.03805156425,0.003805156425,2564.06665,641.0166626,0.01532762311,0.0003283091646
2.210257769,2.210257769,0.2102577686,0.04205156118,0.004205156118,2614.0979,653.5244751,0.01566803269,0.0003404093441
2.23025775,2.23025775,0.2302577496,0.04605156183,0.004605156183,2655.132324,663.7830811,0.01601915061,0.0003511171963
2.25025773,2.25025773,0.2502577305,0.049948439,0.0049948439,2685.552734,671.3881836,0.01637224108,0.0003530908143
2.270257711,2.270257711,0.2702577114,0.04594843835,0.004594843835,2349.665283,587.4163208,0.01637224108,0
2.290257931,2.290257931,0.2902579308,0.04194843769,0.004194843769,2013.665283,503.4163208,0.01637224108,0
2.310257912,2.310257912,0.3102579117,0.03794843704,0.003794843704,1677.665283,419.4163208,0.01637224108,0
2.330257893,2.330257893,0.3302578926,0.03394843638,0.003394843638,1341.665283,335.4163208,0.01637224108,0
2.350257874,2.350257874,0.3502578735,0.02994843759,0.002994843759,1005.665283,251.4163208,0.01637224108,0
2.370257854,2.370257854,0.3702578545,0.02594843693,0.002594843693,669.6652832,167.4163208,0.01637224108,0
2.390257835,2.390257835,0.3902578354,0.02194843814,0.002194843814,333.6652527,83.41631317,0.01637224108,0
2.410257816,2.410257816,0.4102578163,0.01794843748,0.001794843748,-2.334737301,-0.5836843252,0.01637224108,0
2.430257797,2.430257797,0.4302577972,0.01394843776,0.001394843776,-338.3347473,-84.58368683,0.01637224108,0
2.450257778,2.450257778,0.4502577782,0.009948437102,0.0009948437102,-674.3347168,-168.5836792,0.01637224108,0
2.470257759,2.470257759,0.4702577591,0.005948437378,0.0005948437378,-1010.334717,-252.5836792,0.01637224108,0
2.49025774,2.49025774,0.49025774,0.001948437537,0.0001948437537,-1346.334717,-336.5836792,0.01637224108,0
2.510257721,2.510257721,0.5102577209,-0.002051562537,-0.0002051562537,-1597.483521,-399.3708801,0.01647346467,0.0001012247158
2.530257702,2.530257702,0.5302577019,-0.006051562726,-0.0006051562726,-1727.373535,-431.8433838,0.01671892777,0.0002454626374
2.550257921,2.550257921,0.5502579212,-0.01005156245,-0.001005156245,-1885.420166,-471.3550415,0.01693040505,0.0002114768431
2.570257902,2.570257902,0.5702579021,-0.01405156218,-0.001405156218,-2020.30542,-505.076355,0.01717045531,0.0002400503436
2.590257883,2.590257883,0.5902578831,-0.01805156283,-0.001805156283,-2143.257812,-535.8144531,0.01742391288,0.0002534577216
2.610257864,2.610257864,0.610257864,-0.02205156162,-0.002205156162,-2252.761963,-563.1904907,0.01769351959,0.0002696072625
2.630257845,2.630257845,0.6302578449,-0.02605156228,-0.002605156228,-2349.115234,-587.2788086,0.0179788135,0.0002852940524
2.650257826,2.650257826,0.6502578259,-0.03005156294,-0.003005156294,-2432.669189,-608.1672974,0.01827933826,0.0003005239996
2.670257807,2.670257807,0.6702578068,-0.03405156359,-0.003405156359,-2504.090088,-626.022522,0.01859429479,0.0003149573749
2.690257788,2.690257788,0.6902577877,-0.03805156425,-0.003805156425,-2564.276367,-641.0690918,0.01892261952,0.0003283245023
2.710257769,2.710257769,0.7102577686,-0.04205156118,-0.004205156118,-2614.296143,-653.5740356,0.019263044,0.0003404230811
2.73025775,2.73025775,0.7302577496,-0.04605156183,-0.004605156183,-2655.320312,-663.8300781,0.0196141731,0.000351129187
2.75025773,2.75025773,0.7502577305,-0.049948439,-0.0049948439,-2685.732178,-671.4330444,0.01996727288,0.000353101088
2.770257711,2.770257711,0.7702577114,-0.04594843835,-0.004594843835,-2349.844727,-587.4611816,0.01996727288,0
2.790257931,2.790257931,0.7902579308,-0.04194843769,-0.004194843769,-2013.844727,-503.4611816,0.01996727288,0
2.810257912,2.810257912,0.8102579117,-0.03794843704,-0.003794843704,-1677.844727,-419.4611816,0.01996727288,0
2.830257893,2.830257893,0.8302578926,-0.03394843638,-0.003394843638,-1341.844727,-335.4611816,0.01996727288,0
2.850257874,2.850257874,0.8502578735,-0.02994843759,-0.002994843759,-1005.844727,-251.4611816,0.01996727288,0
2.870257854,2.870257854,0.8702578545,-0.02594843693,-0.002594843693,-669.8447266,-167.4611816,0.01996727288,0
2.890257835,2.890257835,0.8902578354,-0.02194843814,-0.002194843814,-333.844696,-83.46117401,0.01996727288,0
2.910257816,2.910257816,0.9102578163,-0.01794843748,-0.001794843748,2.155303478,0.5388258696,0.01996727288,0
2.930257797,2.930257797,0.9302577972,-0.01394843776,-0.001394843776,338.155304,84.53882599,0.01996727288,0
2.950257778,2.950257778,0.9502577782,-0.009948437102,-0.0009948437102,674.1552734,168.5388184,0.01996727288,0
2.970257759,2.970257759,0.9702577591,-0.005948437378,-0.0005948437378,1010.155273,252.5388184,0.01996727288,0
2.99025774,2.99025774,0.99025774,-0.001948437537,-0.0001948437537,1346.155273,336.5388184,0.01996727288,0
3.010257721,3.010257721,0.01025772095,0.002051562537,0.0002051562537,1597.518677,399.3796692,0.02006824315,0.0001009687403
3.030257702,3.030257702,0.03025770187,0.006051562726,0.0006051562726,1727.329346,431.8323364,0.02031380124,0.0002455583599
3.050257921,3.050257921,0.05025792122,0.01005156245,0.001005156245,1885.418701,471.3546753,0.02052522637,0.0002114250528
3.070257902,3.070257902,0.07025790215,0.01405156218,0.001405156218,2020.311768,505.0779419,0.02076526731,0.0002400420926
3.090257883,3.090257883,0.09025788307,0.01805156283,0.001805156283,2143.27832,535.8195801,0.02101870812,0.00025343991
3.110257864,3.110257864,0.110257864,0.02205156162,0.002205156162,2252.796387,563.1990967,0.02128829807,0.0002695905569
3.130257845,3.130257845,0.1302578449,0.02605156228,0.002605156228,2349.163574,587.2908936,0.02157357521,0.0002852775797
3.150257826,3.150257826,0.1502578259,0.03005156294,0.003005156294,2432.730957,608.1827393,0.02187408321,0.0003005082253
3.170257807,3.170257807,0.1702578068,0.03405156359,0.003405156359,2504.164062,626.0410156,0.0221890267,0.0003149426193
3.190257788,3.190257788,0.1902577877,0.03805156425,0.003805156425,2564.361816,641.0904541,0.0225173384,0.0003283109691
3.210257769,3.210257769,0.2102577686,0.04205156118,0.004205156118,2614.391602,653.5979004,0.02285774797,0.0003404109739
3.23025775,3.23025775,0.2302577496,0.04605156183,0.004605156183,2655.424805,663.8562012,0.02320886776,0.0003511186223
3.25025773,3.25025773,0.2502577305,0.049948439,0.0049948439,2685.844238,671.4610596,0.02356196009,0.0003530920367
3.270257711,3.270257711,0.2702577114,0.04594843835,0.004594843835,2349.956787,587.4891968,0.02356196009,0
3.290257931,3.290257931,0.2902579308,0.04194843769,0.004194843769,2013.956787,503.4891968,0.02356196009,0
3.310257912,3.310257912,0.3102579117,0.03794843704,0.003794843704,1677.956787,419.4891968,0.02356196009,0
3.330257893,3.330257893,0.3302578926,0.03394843638,0.003394843638,1341.956787,335.4891968,0.02356196009,0
3.350257874,3.350257874,0.3502578735,0.02994843759,0.002994843759,1005.956787,251.4891968,0.02356196009,0
3.370257854,3.370257854,0.3702578545,0.02594843693,0.002594843693,669.9567871,167.4891968,0.02356196009,0
3.390257835,3.390257835,0.3902578354,0.02194843814,0.002194843814,333.9567871,83.48919678,0.02356196009,0
3.410257816,3.410257816,0.4102578163,0.01794843748,0.001794843748,-2.043215513,-0.5108038783,0.02356196009,0
3.430257797,3.430257797,0.4302577972,0.01394843776,0.001394843776,-338.0432129,-84.51080322,0.02356196009,0
3.450257778,3.450257778,0.4502577782,0.009948437102,0.0009948437102,-674.0432129,-168.5108032,0.02356196009,0
3.470257759,3.470257759,0.4702577591,0.005948437378,0.0005948437378,-1010.043213,-252.5108032,0.02356196009,0
3.49025774,3.49025774,0.49025774,0.001948437537,0.0001948437537,-1346.043213,-336.5108032,0.02356196009,0
3.510257721,3.510257721,0.5102577209,-0.002051562537,-0.0002051562537,-1597.607666,-399.4019165,0.02366268821,0.0001007288811
3.530257702,3.530257702,0.5302577019,-0.006051562726,-0.0006051562726,-1727.341431,-431.8353577,0.02390833944,0.0002456511429
3.550257921,3.550257921,0.5502579212,-0.01005156245,-0.001005156245,-1885.466064,-471.3665161,0.02411972173,0.0002113819937
3.570257902,3.570257902,0.5702579021,-0.01405156218,-0.001405156218,-2020.363159,-505.0907898,0.02435975894,0.0002400382509
3.590257883,3.590257883,0.5902578831,-0.01805156283,-0.001805156283,-2143.339355,-535.8348389,0.02461318672,0.0002534278319
3.610257864,3.610257864,0.610257864,-0.02205156162,-0.002205156162,-2252.866943,-563.2167358,0.02488276735,0.0002695793519
3.630257845,3.630257845,0.6302578449,-0.02605156228,-0.002605156228,-2349.243164,-587.310791,0.02516803332,0.0002852665202
3.650257826,3.650257826,0.6502578259,-0.03005156294,-0.003005156294,-2432.81958,-608.204895,0.02546853013,0.0003004976606
3.670257807,3.670257807,0.6702578068,-0.03405156359,-0.003405156359,-2504.260986,-626.0652466,0.02578346431,0.0003149326949
3.690257788,3.690257788,0.6902577877,-0.03805156425,-0.003805156425,-2564.466309,-641.1165771,0.02611176483,0.0003283019178
3.710257769,3.710257769,0.7102577686,-0.04205156118,-0.004205156118,-2614.503174,-653.6257935,0.02645216882,0.0003404028539
3.73025775,3.73025775,0.7302577496,-0.04605156183,-0.004605156183,-2655.542236,-663.8855591,0.0268032793,0.000351111521
3.75025773,3.75025773,0.7502577305,-0.049948439,-0.0049948439,-2685.966797,-671.4916992,0.02715636604,0.000353085954
3.770257711,3.770257711,0.7702577114,-0.04594843835,-0.004594843835,-2350.079102,-587.5197754,0.02715636604,0
3.790257931,3.790257931,0.7902579308,-0.04194843769,-0.004194843769,-2014.079224,-503.5198059,0.02715636604,0
3.810257912,3.810257912,0.8102579117,-0.03794843704,-0.003794843704,-1678.079224,-419.5198059,0.02715636604,0
3.830257893,3.830257893,0.8302578926,-0.03394843638,-0.003394843638,-1342.079224,-335.5198059,0.02715636604,0
3.850257874,3.850257874,0.8502578735,-0.02994843759,-0.002994843759,-1006.079224,-251.5198059,0.02715636604,0
3.870257854,3.870257854,0.8702578545,-0.02594843693,-0.002594843693,-670.0792236,-167.5198059,0.02715636604,0
3.890257835,3.890257835,0.8902578354,-0.02194843814,-0.002194843814,-334.0792236,-83.51980591,0.02715636604,0
3.910257816,3.910257816,0.9102578163,-0.01794843748,-0.001794843748,1.920791268,0.4801978171,0.02715636604,0
3.930257797,3.930257797,0.9302577972,-0.01394843776,-0.001394843776,337.9207764,84.48019409,0.02715636604,0
3.950257778,3.950257778,0.9502577782,-0.009948437102,-0.0009948437102,673.9207764,168.4801941,0.02715636604,0
3.970257759,3.970257759,0.9702577591,-0.005948437378,-0.0005948437378,1009.920776,252.4801941,0.02715636604,0
3.99025774,3.99025774,0.99025774,-0.001948437537,-0.0001948437537,1345.920776,336.4801941,0.02715636604,0
4.010257721,4.010257721,0.01025772095,0.002051562537,0.0002051562537,1597.688354,399.4220886,0.02725685202,0.0001004866062
4.030257702,4.030257702,0.03025770187,0.006051562726,0.0006051562726,1727.344727,431.8361816,0.02750259638,0.0002457444207
4.050257683,4.050257683,0.0502576828,0.01005156245,0.001005156245,1885.505859,471.3764648,0.02771393396,0.0002113375667
4.070257664,4.070257664,0.07025766373,0.01405156218,0.001405156218,2020.407715,505.1019287,0.02795396745,0.0002400337544
4.090257645,4.090257645,0.09025764465,0.01805156283,0.001805156283,2143.394043,535.8485107,0.02820738219,0.0002534148516
4.110257626,4.110257626,0.1102576256,0.02205156162,0.002205156162,2252.931641,563.2329102,0.02847694978,0.000269567332
4.130257607,4.130257607,0.1302576065,0.02605156228,0.002605156228,2349.318115,587.3295288,0.02876220457,0.0002852546168
4.150257587,4.150257587,0.1502575874,0.03005156294,0.003005156294,2432.904053,608.2260132,0.02906269208,0.0003004862519
4.170258045,4.170258045,0.1702580452,0.03405156359,0.003405156359,2504.354492,626.088623,0.02937761322,0.0003149220429
4.190258026,4.190258026,0.1902580261,0.03805156425,0.003805156425,2564.567871,641.1419678,0.02970590629,0.0003282921389
4.210258007,4.210258007,0.210258007,0.04205156118,0.004205156118,2614.612061,653.6530151,0.0300462991,0.0003403941228
4.230257988,4.230257988,0.230257988,0.04605156183,0.004605156183,2655.657471,663.9143677,0.03039740399,0.0003511038667
4.250257969,4.250257969,0.2502579689,0.049948439,0.0049948439,2686.087402,671.5218506,0.03075048327,0.0003530794056
4.27025795,4.27025795,0.2702579498,0.04594843835,0.004594843835,2350.199951,587.5499878,0.03075048327,0
4.290257931,4.290257931,0.2902579308,0.04194843769,0.004194843769,2014.199951,503.5499878,0.03075048327,0
4.310257912,4.310257912,0.3102579117,0.03794843704,0.003794843704,1678.199951,419.5499878,0.03075048327,0
4.330257893,4.330257893,0.3302578926,0.03394843638,0.003394843638,1342.199951,335.5499878,0.03075048327,0
4.350257874,4.350257874,0.3502578735,0.02994843759,0.002994843759,1006.200012,251.5500031,0.03075048327,0
