cycle,step_name,time,target_time,time_error,statev_count,stress_count,STATEV1_end,STATEV2_end,STATEV3_end,STATEV4_end,STATEV5_end,STATEV6_end,STATEV7_end,STATEV8_end,STATEV9_end,STATEV10_end,STATEV11_end,STATEV12_end,STATEV13_end,STATEV14_end,STATEV15_end,Delta_STATEV1,Delta_STATEV2,Delta_STATEV3,Delta_STATEV4,Delta_STATEV5,Delta_STATEV6,Delta_STATEV7,Delta_STATEV8,Delta_STATEV9,Delta_STATEV10,Delta_STATEV11,Delta_STATEV12,Delta_STATEV13,Delta_STATEV14,Delta_STATEV15,S11,S22,S33,S12,S13,S23,Delta_S11,Delta_S22,Delta_S33,Delta_S12,Delta_S13,Delta_S23,RIGHT_FACE_U1_AVG,RIGHT_FACE_RF1_SUM,right_face_node_set,right_face_u_count,right_face_rf_count
30,CYCLIC_50,29.9902572632,30,-0.00974273681641,8,8,0.213670507073,-85.8335342407,42.9167671204,42.9167671204,3.6524401087e-15,8.1411982111e-16,-1.36558892879e-15,-0.00178969989065,0.000894849945325,0.000894849945325,-5.30776427895e-19,-2.05581547509e-19,-1.03676952782e-19,2.12533187866,0,0.00715936720371,0.00545501708984,-0.00272750854492,-0.00272750854492,2.67884965931e-15,1.87279838288e-16,4.37851636893e-16,2.8358772397e-07,-1.41793861985e-07,-1.41793861985e-07,-2.04073906638e-20,1.96525108066e-21,2.61010660651e-20,0.0708456039429,0,334.919799805,-6.66133814775e-15,-4.4408920985e-15,-1.18504479328e-15,1.09815439331e-16,5.08640039631e-15,-0.0595397949219,-8.881784197e-15,-5.3290705182e-15,1.38098169872e-15,1.70896739401e-14,2.77047282278e-15,-0.00194843753707,1339.67919922,RIGHT_FACE,4,4
31,CYCLIC_50,30.9902572632,31,-0.00974273681641,8,8,0.220828726888,-85.828086853,42.9140434265,42.9140434265,1.70060011511e-15,2.9804006611e-15,-1.77257591924e-15,-0.00178941653576,0.000894708267879,0.000894708267879,-4.06719425838e-19,-2.29834483069e-19,-1.00776463755e-19,2.19614076614,0,0.0071582198143,0.00544738769531,-0.00272369384766,-0.00272369384766,-1.95183999358e-15,2.16628083999e-15,-4.06986990448e-16,2.83354893327e-07,-1.41677446663e-07,-1.41677446663e-07,1.24057002057e-19,-2.42529355601e-20,2.90048902697e-21,0.0708088874817,0,334.860290527,-1.02140518266e-14,-8.881784197e-15,5.5334802148e-15,-1.67574919613e-14,2.92460979047e-15,-0.0595092773438,-3.5527136788e-15,-4.4408920985e-15,6.71852500808e-15,-1.68673074006e-14,-2.16179060584e-15,-0.00194843753707,1339.44116211,RIGHT_FACE,4,4
32,CYCLIC_50,31.9902572632,32,-0.00974273681641,8,8,0.227985829115,-85.8226318359,42.911315918,42.911315918,-2.7357633085e-15,2.74083038532e-15,-1.38757802736e-15,-0.00178913329728,0.00089456664864,0.00089456664864,-5.37060725804e-19,-2.42577585319e-19,-8.91489263395e-20,2.26691317558,0,0.00715710222721,0.00545501708984,-0.00272750854492,-0.00272750854492,-4.43636342361e-15,-2.39570275778e-16,3.84997891887e-16,2.83238478005e-07,-1.41619239002e-07,-1.41619239002e-07,-1.30341299966e-19,-1.274310225e-20,1.16275374156e-20,0.0707724094391,0,334.800811768,-1.7763568394e-15,8.881784197e-16,1.85157378863e-14,-9.73468542822e-15,9.29022660098e-15,-0.0594787597656,8.43769498715e-15,9.7699626167e-15,1.29822576715e-14,7.02280653308e-15,6.36561681051e-15,-0.00194843753707,1339.20324707,RIGHT_FACE,4,4
33,CYCLIC_50,32.9902572632,33,-0.00974273681641,8,8,0.235141798854,-85.8171768188,42.9085884094,42.9085884094,-1.67027743741e-15,2.12050278554e-15,-2.14537917209e-15,-0.00178885029163,0.000894425145816,0.000894425145816,-5.21495309557e-19,-3.00142580585e-19,-8.67225661931e-20,2.33764910698,0,0.00715596973896,0.00545501708984,-0.00272750854492,-0.00272750854492,1.06548587109e-15,-6.20327599785e-16,-7.57801144732e-16,2.83005647361e-07,-1.41502823681e-07,-1.41502823681e-07,1.55654162468e-20,-5.75649952651e-20,2.42636014644e-21,0.0707359313965,0,334.741363525,3.99680288865e-15,6.2172489379e-15,8.85204365261e-15,-3.77519212341e-15,4.10073018424e-15,-0.0594482421875,5.77315972805e-15,5.3290705182e-15,-9.66369423372e-15,5.95949330481e-15,-5.18949641674e-15,-0.00194843753707,1338.9654541,RIGHT_FACE,4,4
34,CYCLIC_50,33.9902572632,34,-0.00974273681641,8,8,0.242296636105,-85.8117294312,42.9058647156,42.9058647156,1.97472593377e-15,2.34953180577e-15,-1.90082307633e-15,-0.0017885674024,0.0008942837012,0.0008942837012,-5.22462862073e-19,-2.49364638192e-19,-1.02002870893e-19,2.40834856033,0,0.00715483725071,0.00544738769531,-0.00272369384766,-0.00272369384766,3.64500337118e-15,2.29029020232e-16,2.44556095753e-16,2.82889232039e-07,-1.4144461602e-07,-1.4144461602e-07,-9.67552516268e-22,5.07779423923e-20,-1.52803046995e-20,0.0706994533539,0,334.681976318,-1.53210777398e-14,-9.7699626167e-15,-8.28762548491e-15,-9.01886745994e-15,4.57652393739e-15,-0.0593872070312,-1.93178806285e-14,-1.59872115546e-14,-1.71396691375e-14,-5.24367533652e-15,4.75793753155e-16,-0.00194843753707,1338.72790527,RIGHT_FACE,4,4
35,CYCLIC_50,34.9902572632,35,-0.00974273681641,8,8,0.249450340867,-85.8062744141,42.903137207,42.903137207,-1.13910796647e-15,1.19998760591e-15,-2.06931993131e-15,-0.001788284746,0.000894142372999,0.000894142372999,-6.16931886653e-19,-2.65738878246e-19,-1.1880365715e-19,2.47901153564,0,0.00715370476246,0.00545501708984,-0.00272750854492,-0.00272750854492,-3.11383390025e-15,-1.14954419986e-15,-1.68496854972e-16,2.82656401396e-07,-1.41328200698e-07,-1.41328200698e-07,-9.44690245801e-20,-1.63742400534e-20,-1.68007862578e-20,0.0706629753113,0,334.622619629,-8.21565038223e-15,-3.5527136788e-15,-2.98579008028e-15,-7.89491034532e-16,3.90399280041e-15,-0.0593566894531,7.1054273576e-15,6.2172489379e-15,5.30183540463e-15,8.2293764254e-15,-6.72531136988e-16,-0.00194843753707,1338.49047852,RIGHT_FACE,4,4
36,CYCLIC_50,35.9902572632,36,-0.00974273681641,8,8,0.256602913141,-85.800819397,42.9004096985,42.9004096985,2.37332089815e-15,2.14677257272e-15,-1.90861530175e-15,-0.00178800232243,0.000894001161214,0.000894001161214,-5.13321411243e-19,-2.86033162563e-19,-1.14993965162e-19,2.54963803291,0,0.00715257227421,0.00545501708984,-0.00272750854492,-0.00272750854492,3.51242886462e-15,9.4678496681e-16,1.60704629554e-16,2.82423570752e-07,-1.41211785376e-07,-1.41211785376e-07,1.0361047541e-19,-2.02942843173e-20,3.80969198857e-21,0.0706264972687,0,334.563293457,-8.881784197e-15,3.5527136788e-15,2.99492668058e-15,-7.18751678806e-15,4.28058734129e-15,-0.059326171875,-6.66133814775e-16,7.1054273576e-15,5.98071676086e-15,-6.39802575353e-15,3.76594540884e-16,-0.00194843753707,1338.25317383,RIGHT_FACE,4,4
37,CYCLIC_50,36.9902572632,37,-0.00974273681641,8,8,0.263754367828,-85.7953643799,42.8976821899,42.8976821899,2.39304695876e-15,3.31228421217e-15,-1.73510876347e-15,-0.00178772001527,0.000893860007636,0.000893860007636,-5.55580412761e-19,-2.7487592289e-19,-1.26053061299e-19,2.62022829056,0,0.00715145468712,0.00545501708984,-0.00272750854492,-0.00272750854492,1.97260606177e-17,1.16551163946e-15,1.73506538281e-16,2.8230715543e-07,-1.41153577715e-07,-1.41153577715e-07,-4.22590015185e-20,1.11572396727e-20,-1.1059096137e-20,0.0705902576447,0,334.503997803,-1.33226762955e-14,-7.9936057773e-15,-7.00851545937e-15,-6.30030716229e-15,5.69933097317e-15,-0.0592956542969,-4.4408920985e-15,-1.15463194561e-14,-1.00034421399e-14,8.87209625767e-16,1.41874363189e-15,-0.00194843753707,1338.01599121,RIGHT_FACE,4,4
38,CYCLIC_50,37.9902572632,38,-0.00974273681641,8,8,0.270904660225,-85.7899093628,42.8949546814,42.8949546814,-5.70165120818e-16,2.52145718004e-15,-1.97894858492e-15,-0.00178743782453,0.000893718912266,0.000893718912266,-5.41998562699e-19,-2.9470956694e-19,-1.27902809486e-19,2.69078207016,0,0.00715029239655,0.00545501708984,-0.00272750854492,-0.00272750854492,-2.96321207958e-15,-7.90827032137e-16,-2.43839821449e-16,2.82190740108e-07,-1.41095370054e-07,-1.41095370054e-07,1.35818500625e-20,-1.98336440495e-20,-1.84974818738e-21,0.0705537796021,0,334.444763184,0,5.3290705182e-15,-5.47820629235e-15,1.39754548094e-15,4.60419582218e-15,-0.0592346191406,1.33226762955e-14,1.33226762955e-14,1.53030916702e-15,7.69785264324e-15,-1.09513515099e-15,-0.00194843753707,1337.77905273,RIGHT_FACE,4,4
39,CYCLIC_50,38.9902572632,39,-0.00974273681641,8,8,0.278053849936,-85.7844543457,42.8922271729,42.8922271729,2.22962218216e-15,4.31648345278e-15,-1.61915731655e-15,-0.00178715586662,0.000893577933311,0.000893577933311,-5.27553430114e-19,-2.88150831971e-19,-1.39749925287e-19,2.76129937172,0,0.00714918971062,0.00545501708984,-0.00272750854492,-0.00272750854492,2.79978730298e-15,1.79502627274e-15,3.59791268366e-16,2.81957909465e-07,-1.40978954732e-07,-1.40978954732e-07,1.44451325852e-20,6.55873496885e-21,-1.18471158009e-20,0.0705173015594,0,334.385559082,-1.02140518266e-14,-1.24344978758e-14,9.81355807901e-15,-6.11853045074e-15,7.19355367128e-15,-0.0592041015625,-1.02140518266e-14,-1.7763568394e-14,1.52917643714e-14,-7.51607593169e-15,2.5893578491e-15,-0.00194843753707,1337.54223633,RIGHT_FACE,4,4
40,CYCLIC_50,39.9902572632,40,-0.00974273681641,8,8,0.285201907158,-85.7789993286,42.8894996643,42.8894996643,-4.81330904311e-16,3.89037471422e-15,-2.00808096958e-15,-0.00178687414154,0.000893437070772,0.000893437070772,-6.18426285365e-19,-3.0245906253e-19,-1.54292974065e-19,2.83178043365,0,0.00714805722237,0.00545501708984,-0.00272750854492,-0.00272750854492,-2.71095308647e-15,-4.26108738553e-16,-3.88923653024e-16,2.81725078821e-07,-1.40862539411e-07,-1.40862539411e-07,-9.08728552515e-20,-1.43082305587e-20,-1.45430487775e-20,0.0704810619354,0,334.326385498,-1.35447209004e-14,-8.881784197e-15,1.61507613877e-14,-6.58652767507e-15,6.80624569225e-15,-0.0591735839844,-3.33066907388e-15,3.5527136788e-15,6.33720330867e-15,-4.6799722433e-16,-3.87307979037e-16,-0.00194843753707,1337.30554199,RIGHT_FACE,4,4
41,CYCLIC_50,40.9902572632,41,-0.00974273681641,8,8,0.292348861694,-85.7735366821,42.8867683411,42.8867683411,9.30318917631e-17,3.71304881008e-15,-1.73523355525e-15,-0.00178659253288,0.00089329626644,0.00089329626644,-6.37400126791e-19,-2.71590627539e-19,-1.43751119887e-19,2.90222525597,0,0.00714695453644,0.00546264648438,-0.00273132324219,-0.00273132324219,5.74362796074e-16,-1.77325904139e-16,2.72847414331e-16,2.81608663499e-07,-1.4080433175e-07,-1.4080433175e-07,-1.89738414258e-20,3.08684349906e-20,1.05418541778e-20,0.0704448223114,0,334.267242432,3.5527136788e-15,1.7763568394e-15,-7.12797272768e-15,-4.48354412492e-15,1.55434391218e-15,-0.0591430664062,1.70974345792e-14,1.06581410364e-14,-2.32787341154e-14,2.10298355015e-15,-5.25190178006e-15,-0.00194843753707,1337.06896973,RIGHT_FACE,4,4
42,CYCLIC_50,41.9902572632,42,-0.00974273681641,8,8,0.29949465394,-85.768081665,42.8840408325,42.8840408325,-9.00029211343e-16,2.97638698886e-15,-1.97247274341e-15,-0.00178631104063,0.000893155520316,0.000893155520316,-6.66029952853e-19,-2.23586241026e-19,-1.49856386103e-19,2.97263383865,0,0.00714579224586,0.00545501708984,-0.00272750854492,-0.00272750854492,-9.93061103106e-16,-7.36661821222e-16,-2.37239188167e-16,2.81492248178e-07,-1.40746124089e-07,-1.40746124089e-07,-2.86298260621e-20,4.80043865124e-20,-6.10526621658e-21,0.0704085826874,0,334.208129883,-9.99200722163e-15,8.881784197e-16,-1.63356542408e-14,1.12450755765e-14,2.74582160306e-15,-0.0591125488281,-1.35447209004e-14,-8.881784197e-16,-9.20768151312e-15,1.57286197015e-14,1.19147769088e-15,-0.00194843753707,1336.83251953,RIGHT_FACE,4,4
43,CYCLIC_50,42.9902572632,43,-0.00974273681641,8,8,0.3066393435,-85.7626266479,42.881313324,42.881313324,4.55672859213e-15,2.36231228225e-15,-1.03613333066e-15,-0.00178602978121,0.000893014890607,0.000893014890607,-5.94889970135e-19,-2.30577048114e-19,-1.27647063658e-19,3.04300618172,0,0.00714468955994,0.00545501708984,-0.00272750854492,-0.00272750854492,5.45675780347e-15,-6.14074706616e-16,9.36339412753e-16,2.81259417534e-07,-1.40629708767e-07,-1.40629708767e-07,7.11399827174e-20,-6.99080708707e-21,2.22093224449e-20,0.0703723430634,0,334.149078369,3.5527136788e-15,5.3290705182e-15,1.59916159671e-15,6.07115735384e-16,4.13529521075e-15,-0.0590515136719,1.35447209004e-14,4.4408920985e-15,1.79348158375e-14,-1.06379598412e-14,1.38947360768e-15,-0.00194843753707,1336.59631348,RIGHT_FACE,4,4
44,CYCLIC_50,43.9902572632,44,-0.00974273681641,8,8,0.313782900572,-85.7571640015,42.8785820007,42.8785820007,4.00597403201e-16,2.42966927527e-15,-1.90373972551e-15,-0.00178574875463,0.000892874377314,0.000892874377314,-6.4317089902e-19,-2.50863787942e-19,-1.41085740389e-19,3.11334228516,0,0.00714355707169,0.00546264648438,-0.00273132324219,-0.00273132324219,-4.15613118893e-15,6.73569930254e-17,-8.67606394853e-16,2.8102658689e-07,-1.40513293445e-07,-1.40513293445e-07,-4.82809288845e-20,-2.02867398283e-20,-1.34386767307e-20,0.0703361034393,0,334.090057373,6.43929354283e-15,-1.7763568394e-15,-7.32888539582e-15,-4.3169489437e-15,4.85235508153e-15,-0.0590209960938,2.88657986403e-15,-7.1054273576e-15,-8.92804699253e-15,-4.92406467909e-15,7.17059870784e-16,-0.00194843753707,1336.36022949,RIGHT_FACE,4,4
45,CYCLIC_50,44.9902572632,45,-0.00974273681641,8,8,0.320925325155,-85.7517089844,42.8758544922,42.8758544922,-3.27001436801e-17,6.41450639417e-16,-2.06178857094e-15,-0.00178546784446,0.000892733922228,0.000892733922228,-6.88740235345e-19,-2.84077308949e-19,-1.53355621416e-19,3.18364214897,0,0.00714242458344,0.00545501708984,-0.00272750854492,-0.00272750854492,-4.33297546881e-16,-1.78821863585e-15,-1.58048845429e-16,2.80910171568e-07,-1.40455085784e-07,-1.40455085784e-07,-4.55693363247e-20,-3.32135210068e-20,-1.22698810265e-20,0.0702998638153,0,334.031066895,-2.6645352591e-15,3.5527136788e-15,1.04142453372e-15,-6.83214641791e-15,3.59329137447e-15,-0.0589904785156,-9.10382880193e-15,5.3290705182e-15,8.37030992954e-15,-2.51519747421e-15,-1.25906370706e-15,-0.00194843753707,1336.12426758,RIGHT_FACE,4,4
46,CYCLIC_50,45.9902572632,46,-0.00974273681641,8,8,0.328066647053,-85.7462463379,42.8731231689,42.8731231689,4.54781886431e-15,2.21823864417e-15,-1.8075174461e-15,-0.00178518716712,0.000892593583558,0.000892593583558,-5.58443183079e-19,-3.19072022243e-19,-1.4769123156e-19,3.25390601158,0,0.00714132189751,0.00546264648438,-0.00273132324219,-0.00273132324219,4.58051900799e-15,1.57678800475e-15,2.54271124839e-16,2.80677340925e-07,-1.40338670462e-07,-1.40338670462e-07,1.30297052265e-19,-3.4994713294e-20,5.6643898553e-21,0.0702638626099,0,333.972106934,1.64313007645e-14,9.7699626167e-15,-1.13692667002e-14,-1.11590790743e-14,4.02090386121e-15,-0.0589599609375,1.90958360236e-14,6.2172489379e-15,-1.2410691234e-14,-4.32693265635e-15,4.27612486732e-16,-0.00194843753707,1335.88842773,RIGHT_FACE,4,4
47,CYCLIC_50,46.9902572632,47,-0.00974273681641,8,8,0.335206836462,-85.7407913208,42.8703956604,42.8703956604,-2.54507979735e-16,1.31743508176e-15,-1.80599615342e-15,-0.00178490660619,0.000892453303095,0.000892453303095,-6.15142801617e-19,-3.28904190493e-19,-1.44080427032e-19,3.32413363457,0,0.00714018940926,0.00545501708984,-0.00272750854492,-0.00272750854492,-4.80232684405e-15,-9.00803562411e-16,1.52129267996e-18,2.80560925603e-07,-1.40280462801e-07,-1.40280462801e-07,-5.66996185377e-20,-9.83216825027e-21,3.61080452861e-21,0.0702276229858,0,333.91317749,3.10862446895e-15,1.7763568394e-15,-7.81151029019e-15,-9.1047327449e-15,6.4307411041e-15,-0.0589294433594,-1.33226762955e-14,-7.9936057773e-15,3.55775641004e-15,2.05434632937e-15,2.40983724289e-15,-0.00194843753707,1335.65270996,RIGHT_FACE,4,4
48,CYCLIC_50,47.9902572632,48,-0.00974273681641,8,8,0.342345893383,-85.7353286743,42.8676643372,42.8676643372,2.32844775307e-15,2.99550045275e-15,-2.1911848825e-15,-0.00178462616168,0.00089231308084,0.00089231308084,-4.83419917774e-19,-2.78097404822e-19,-1.53767471331e-19,3.39432525635,0,0.00713905692101,0.00546264648438,-0.00273132324219,-0.00273132324219,2.58295573281e-15,1.678065371e-15,-3.85188729072e-16,2.80444510281e-07,-1.40222255141e-07,-1.40222255141e-07,1.31722883843e-19,5.08067856714e-20,-9.68704429895e-21,0.0701916217804,0,333.854309082,7.1054273576e-15,5.3290705182e-15,-1.18110666249e-15,-8.37965221326e-15,5.95169871572e-15,-0.0588684082031,3.99680288865e-15,3.5527136788e-15,6.63040362771e-15,7.2508053164e-16,-4.79042388378e-16,-0.00194843753707,1335.41723633,RIGHT_FACE,4,4
49,CYCLIC_50,48.9902572632,49,-0.00974273681641,8,8,0.349483847618,-85.7298660278,42.8649330139,42.8649330139,-2.30820408889e-16,2.29559604318e-15,-2.14293501054e-15,-0.00178434595,0.000892172975,0.000892172975,-5.76441515222e-19,-2.73754217285e-19,-1.6679372532e-19,3.4644806385,0,0.00713795423508,0.00546264648438,-0.00273132324219,-0.00273132324219,-2.55926816196e-15,-6.99904409577e-16,4.82498719554e-17,2.80211679637e-07,-1.40105839819e-07,-1.40105839819e-07,-9.30215974487e-20,4.34318753686e-21,-1.30262539891e-20,0.0701553821564,0,333.795471191,-2.22044604925e-16,8.881784197e-16,3.5918849292e-15,-1.61126842391e-15,5.20819554173e-15,-0.058837890625,-7.32747196253e-15,-4.4408920985e-15,4.77299159169e-15,6.76838378934e-15,-7.43503173988e-16,-0.00194843753707,1335.18188477,RIGHT_FACE,4,4
50,CYCLIC_50,50,50,0,8,8,0.356620669365,-85.7244033813,42.8622016907,42.8622016907,1.21904484551e-15,2.61535492807e-15,-2.03693836218e-15,-0.00178406597115,0.000892032985575,0.000892032985575,-6.1550201126e-19,-2.78289837203e-19,-1.7613346453e-19,3.53460025787,0,0.00713682174683,0.00546264648438,-0.00273132324219,-0.00273132324219,1.44986525439e-15,3.19758884894e-16,1.05996648364e-16,2.79978848994e-07,-1.39989424497e-07,-1.39989424497e-07,-3.90604960382e-20,-4.53561991843e-21,-9.33973921037e-21,0.0701196193695,0,374.653869629,4.10782519111e-15,-8.881784197e-15,6.87860528833e-15,-8.18394773896e-15,8.8078331199e-15,40.8583984375,4.32986979604e-15,-9.7699626167e-15,3.28672035913e-15,-6.57267931504e-15,3.59963757817e-15,0,1498.61547852,RIGHT_FACE,4,4
