cycle,points,U1_max,U1_min,RF1_max,RF1_min,RF1_mean,loop_area_abs
230,54,0.0992500036955,-0.0957499966025,2940.14588165,-3060.38581085,318.842779401,551.152824425
231,64,0.0953867211938,-0.0996132791042,2895.09371185,-3077.53525543,650.892990737,547.734809491
232,60,0.0969335958362,-0.0969335958362,2908.17425537,-3103.47908783,684.407078685,545.247279732
233,59,0.0982500016689,-0.0982500016689,2912.04424286,-2999.50543213,238.694422501,553.566170744
234,60,0.0995000004768,-0.096687503159,2969.93307495,-3031.86585999,258.606662927,546.701700447
235,59,0.0955937504768,-0.0994062498212,2936.30088043,-3058.54829407,502.489650973,547.175897859
236,58,0.0957499966025,-0.0992500036955,2926.63217163,-3086.24375153,462.468359756,551.059729462
237,58,0.0972499996424,-0.0977500006557,2916.99337006,-3076.0951004,422.781366241,550.847330726
238,55,0.0960000008345,-0.0989999994636,2932.72685242,-3081.97154999,360.458412203,552.174029491
239,64,0.0953867211938,-0.0996132791042,2896.60028076,-3078.72291565,657.693547077,548.606521618
240,60,0.0969335958362,-0.0969335958362,2908.17584991,-3103.69537354,684.52779031,545.282575732
241,59,0.0982500016689,-0.0982500016689,2912.00431824,-2999.5923996,238.681016976,553.573162334
242,60,0.0995000004768,-0.096687503159,2969.92443848,-3031.90275574,258.607388753,546.705297888
243,59,0.0955937504768,-0.0994062498212,2936.30233002,-3058.56707001,502.491989189,547.177338346
244,58,0.0957499966025,-0.0992500036955,2926.63465118,-3086.25469208,462.468799785,551.060503771
245,58,0.0972499996424,-0.0977500006557,2916.99668884,-3076.09753418,422.779753058,550.849248297
246,55,0.0960000008345,-0.0989999994636,2932.7305069,-3081.97813416,360.458909786,552.174434749
247,64,0.0953867211938,-0.0996132791042,2896.60427856,-3078.72886658,657.694712271,548.606905499
248,60,0.0969335958362,-0.0969335958362,2908.17958832,-3103.70089722,684.528443331,545.282877027
249,59,0.0982500016689,-0.0982500016689,2912.00799561,-2999.59803009,238.681327228,553.573304025
250,59,0.10000000149,-0.10000000149,2969.92891693,-3087.26193237,432.444064249,574.250524099
