case_name,base_cycle,target_cycle,jump_size,method,strain_range_reference,predicted_strain_mean,reference_strain_mean,strain_mean_normalized_error_percent,predicted_ratcheting_strain,reference_ratcheting_strain,ratcheting_strain_normalized_error_percent,predicted_strain_max,reference_strain_max,strain_max_normalized_error_percent,max_normalized_error_percent,drift_direction_ok,finite,accepted,requested_target_cycle,adaptive_candidate
B1_stress_m150_to_250,1000,2000,1000,power_law_fit,0.0032863748357274,0.08633554220251168,0.092113380978674,175.81192240608996,0.07637421030899612,0.0781434225684596,53.83476772733657,0.08767157671430185,0.0937565683965377,185.15817538777523,185.15817538777523,True,True,False,5000,True
B1_stress_m150_to_250,1000,1500,500,power_law_fit,0.0032863750586318,0.07152965071822535,0.0734928220850366,59.73668043928513,0.058936191075989366,0.0595228636748221,17.85166295282752,0.0730644336027415,0.0751360096143525,63.035288871546456,63.035288871546456,True,True,False,5000,True
B1_stress_m150_to_250,1000,1250,250,power_law_fit,0.0032863758455457,0.06349081208964773,0.0641824351875543,21.045161308740408,0.05000880759269426,0.0502124767773399,6.197379551754327,0.06509493559598584,0.0658256231103272,22.233838997195974,22.233838997195974,True,True,False,5000,True
B1_stress_m150_to_250,1000,1125,125,power_law_fit,0.0032863765320656,0.059264273554208706,0.0595271918374047,8.000248316973654,0.0454804082893668,0.0455572334271903,2.337685200521166,0.06089243067298857,0.0611703801034376,8.457625830060605,8.457625830060605,True,True,False,5000,True
B1_stress_m150_to_250,1000,1062,62,power_law_fit,0.0032863766456167,0.05707283467582894,0.0571809110412644,3.2886177419625717,0.043179494338816314,0.04321095263105,0.9572333188177059,0.0587098065712783,0.0588240993640728,3.477775225397247,3.477775225397247,True,True,False,5000,True
B1_stress_m150_to_250,1000,1031,31,power_law_fit,0.0032863773218613,0.0559780598647225,0.0560264047276341,1.471068540730468,0.042042383526581704,0.0420564463174197,0.4279116321929151,0.05761846094068764,0.0576695933885647,1.555890966533856,1.555890966533856,True,True,False,5000,True
B1_stress_m150_to_250,1000,1015,15,power_law_fit,0.0032863786029571,0.05540856854139961,0.0554305097341037,0.6676404442368128,0.04145417017413007,0.0414605513238893,0.19416964781509805,0.057050490703904756,0.0570736990355823,0.7061977477780664,0.7061977477780664,True,True,True,5000,True
B1_stress_m150_to_250,1000,1007,7,power_law_fit,0.0032863784954748,0.05512266017754331,0.055132552304402,0.3010038823071872,0.04115972048869354,0.0411625938941876,0.08743379674675184,0.056765277373822635,0.0567757415521394,0.31841062528782194,0.31841062528782194,True,True,True,5000,True
B1_stress_m150_to_250,1000,1003,3,power_law_fit,0.0032863783737497,0.054979411702050784,0.0549835753219481,0.1266932599901724,0.04101240902285702,0.0410136169117336,0.03675440680317638,0.056622359775730755,0.0566267645088229,0.1340300048018008,0.1340300048018008,True,True,True,5000,True
B1_stress_m150_to_250,1000,1001,1,power_law_fit,0.003286377731265,0.054907713430747025,0.0549090884628802,0.041840355723402736,0.04093873152360384,0.0409391300526658,0.012126696763070575,0.05655082274984395,0.0565522773285127,0.044260848499294764,0.044260848499294764,True,True,True,5000,True
B1_stress_m150_to_250,1000,5000,4000,log_cycle_fit,0.0032863719411082,0.10867044394562644,0.2038270221291175,2895.49022109175,0.09470048553541187,0.1898570637189031,2895.4902210917553,0.11031355876975357,0.2054702080996716,2895.492385984472,2895.492385984472,True,True,False,5000,False
B1_stress_m150_to_250,1000,3000,2000,log_cycle_fit,0.0032863740440782,0.09159510212623032,0.1293537761746828,1148.9463324021435,0.07762514371601574,0.1153838177644684,1148.946332402149,0.09323824045817397,0.130996963196722,1148.9478139771222,1148.9478139771222,True,True,False,5000,True
B1_stress_m150_to_250,1000,2000,1000,log_cycle_fit,0.0032863748357274,0.07804164083792794,0.092113380978674,428.1842712452319,0.06407168242771337,0.0781434225684596,428.18427124523737,0.07968479782907523,0.0937565683965377,428.18519708960275,428.18519708960275,True,True,False,5000,True
B1_stress_m150_to_250,1000,1500,500,log_cycle_fit,0.0032863750586318,0.06842530701698252,0.0734928220850366,154.197709562822,0.054455348606768,0.0595228636748221,154.19770956282267,0.07006847724704554,0.0751360096143525,154.19823595596242,154.19823595596242,True,True,False,5000,True
B1_stress_m150_to_250,1000,1250,250,log_cycle_fit,0.0032863758455457,0.06233085372713077,0.0641824351875543,56.34113526403664,0.048360895316916244,0.0502124767773399,56.34113526404044,0.06397403234749666,0.0658256231103272,56.341418323779514,56.341418323779514,True,True,False,5000,True
B1_stress_m150_to_250,1000,1125,125,log_cycle_fit,0.0032863765320656,0.058808973196037125,0.0595271918374047,21.854423385750987,0.0448390147858226,0.0455572334271903,21.854423385754785,0.060452156665015855,0.0611703801034376,21.85456935363153,21.85456935363153,True,True,False,5000,True
B1_stress_m150_to_250,1000,1062,62,log_cycle_fit,0.0032863766456167,0.05688260780900068,0.0571809110412644,9.076964220202589,0.042912649398786154,0.04321095263105,9.07696422020639,0.058525793930028436,0.0588240993640728,9.077031217411893,9.077031217411893,True,True,False,5000,True
B1_stress_m150_to_250,1000,1031,31,log_cycle_fit,0.0032863773218613,0.05589234389320217,0.0560264047276341,4.07928917778692,0.04192238548298767,0.0420564463174197,4.079289177789876,0.057535531377537474,0.0576695933885647,4.079324979984239,4.079324979984239,True,True,False,5000,True
B1_stress_m150_to_250,1000,1015,15,log_cycle_fit,0.0032863786029571,0.05536952661178277,0.0554305097341037,1.8556328922678558,0.041399568201568246,0.0414605513238893,1.8556328922718675,0.057012714815886545,0.0570736990355823,1.8556662838810103,1.8556662838810103,True,True,False,5000,True
B1_stress_m150_to_250,1000,1007,7,log_cycle_fit,0.0032863784954748,0.05510501920982112,0.055132552304402,0.8377943873109235,0.04113506079960659,0.0411625938941876,0.8377943873149352,0.05674820777807524,0.0567757415521394,0.837815063057283,0.837815063057283,True,True,True,5000,True
B1_stress_m150_to_250,1000,1003,3,log_cycle_fit,0.0032863783737497,0.05497197645308669,0.0549835753219481,0.3529377187379029,0.04100201804287219,0.0410136169117336,0.3529377187379029,0.0566151652045023,0.0566267645088229,0.35295096916557794,0.35295096916557794,True,True,True,5000,True
B1_stress_m150_to_250,1000,1001,1,log_cycle_fit,0.003286377731265,0.05490525597484234,0.0549090884628802,0.11661739310736922,0.04093529756462784,0.0409391300526658,0.1166173931103252,0.056548444818112775,0.0565522773285127,0.11661807355451859,0.11661807355451859,True,True,True,5000,True
B1_stress_m150_to_250,1000,5000,4000,quadratic_curvature_limited,0.0032863719411082,0.20382812224071847,0.2038270221291175,0.033474957208019636,0.1898581638304943,0.1898570637189031,0.033474956910732455,0.20547387464454261,0.2054702080996716,0.11156816503813911,0.11156816503813911,True,True,True,5000,False
B1_stress_m150_to_250,1000,3000,2000,quadratic_curvature_limited,0.0032863740440782,0.1293576286405996,0.1293537761746828,0.11722542428624722,0.11538767023038453,0.1153838177644684,0.11722542426555536,0.13100084111555618,0.130996963196722,0.1179999227773954,0.1179999227773954,True,True,True,5000,True
B1_stress_m150_to_250,1000,2000,1000,quadratic_curvature_limited,0.0032863748357274,0.09211664834861494,0.092113380978674,0.0994217064170357,0.07814668993840121,0.0781434225684596,0.09942170643730526,0.09375953448782937,0.0937565683965377,0.09025419922938586,0.09942170643730526,True,True,True,5000,True
B1_stress_m150_to_250,1000,1500,500,quadratic_curvature_limited,0.0032863750586318,0.07349472482964128,0.0734928220850366,0.057897974842643155,0.05952476641942744,0.0595228636748221,0.05789797486249043,0.07513768370815756,0.0751360096143525,0.050940436657010445,0.05789797486249043,True,True,True,5000,True
